City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,amapa,HN,2020-01-09 01:29:32,15.09,-87.97,71.6,94,40,4.7,scattered clouds,0.0,0.0
1,yulara,AU,2020-01-09 01:29:32,-25.24,130.99,104.0,14,86,20.8,overcast clouds,0.0,0.0
2,barrow,AR,2020-01-09 01:29:32,-38.31,-60.23,60.03,88,100,13.96,moderate rain,11.94,0.0
3,jamestown,AU,2020-01-09 01:29:08,-33.21,138.6,88.05,14,0,17.31,clear sky,0.0,0.0
4,lasa,CY,2020-01-09 01:29:33,34.92,32.53,50.0,81,99,9.17,overcast clouds,0.0,0.0
5,sitka,US,2020-01-09 01:29:33,37.17,-99.65,50.0,41,81,17.0,broken clouds,0.0,0.0
6,chajul,GT,2020-01-09 01:29:34,15.48,-91.04,52.92,99,98,2.46,light rain,0.25,0.0
7,kodiak,US,2020-01-09 01:29:35,39.95,-94.76,43.0,48,1,17.22,clear sky,0.0,0.0
8,shingu,JP,2020-01-09 01:29:36,33.72,135.99,53.6,58,40,14.99,scattered clouds,0.0,0.0
9,busselton,AU,2020-01-09 01:29:02,-33.64,115.35,71.01,51,17,1.01,few clouds,0.0,0.0
10,hermanus,ZA,2020-01-09 01:29:37,-34.42,19.24,64.0,91,13,18.1,few clouds,0.0,0.0
11,yellowknife,CA,2020-01-09 01:29:37,62.45,-114.38,-34.01,73,20,5.82,few clouds,0.0,0.0
12,new norfolk,AU,2020-01-09 01:29:37,-42.78,147.06,86.0,47,20,12.75,few clouds,0.0,0.0
13,hasaki,JP,2020-01-09 01:29:37,35.73,140.83,54.0,40,20,10.29,few clouds,0.0,0.0
14,thompson,CA,2020-01-09 01:29:38,55.74,-97.86,-18.4,75,75,3.36,broken clouds,0.0,0.0
15,lebu,ET,2020-01-09 01:29:38,8.96,38.73,57.2,67,20,14.99,few clouds,0.0,0.0
16,east london,ZA,2020-01-09 01:29:38,-33.02,27.91,77.68,70,98,10.36,light rain,0.75,0.0
17,bambous virieux,MU,2020-01-09 01:29:38,-20.34,57.76,75.2,88,40,12.5,scattered clouds,0.0,0.0
18,georgetown,GY,2020-01-09 01:28:43,6.8,-58.16,78.8,88,40,9.17,scattered clouds,0.0,0.0
19,kruisfontein,ZA,2020-01-09 01:29:39,-34.0,24.73,65.95,90,53,17.98,broken clouds,0.0,0.0
20,emerald,AU,2020-01-09 01:29:39,-23.53,148.16,91.4,43,19,6.93,few clouds,0.0,0.0
21,hofn,IS,2020-01-09 01:29:39,64.25,-15.21,40.37,65,22,42.21,light snow,0.0,0.25
22,tutoia,BR,2020-01-09 01:26:56,-2.76,-42.27,75.65,92,10,3.62,clear sky,0.0,0.0
23,huarmey,PE,2020-01-09 01:29:40,-10.07,-78.15,69.17,80,34,6.06,scattered clouds,0.0,0.0
24,barcelos,BR,2020-01-09 01:27:56,-0.97,-62.93,77.11,89,53,3.85,light rain,0.19,0.0
25,ilulissat,GL,2020-01-09 01:29:41,69.22,-51.1,-14.62,80,100,6.62,overcast clouds,0.0,0.0
26,prince rupert,CA,2020-01-09 01:27:44,54.32,-130.32,33.8,86,75,5.82,broken clouds,0.0,0.0
27,araouane,ML,2020-01-09 01:29:44,18.9,-3.53,63.54,18,51,10.45,broken clouds,0.0,0.0
28,mataura,NZ,2020-01-09 01:29:44,-46.19,168.86,58.35,54,85,5.99,overcast clouds,0.0,0.0
29,lompoc,US,2020-01-09 01:29:44,34.64,-120.46,60.01,71,1,10.29,clear sky,0.0,0.0
30,bredasdorp,ZA,2020-01-09 01:29:45,-34.53,20.04,64.4,72,59,8.05,broken clouds,0.0,0.0
31,bluff,AU,2020-01-09 01:29:45,-23.58,149.07,84.06,50,16,8.57,few clouds,0.0,0.0
32,jacareacanga,BR,2020-01-09 01:29:45,-6.22,-57.76,73.67,96,100,2.13,moderate rain,4.06,0.0
33,talnakh,RU,2020-01-09 01:29:45,69.49,88.39,-4.0,76,75,22.37,light shower snow,0.0,0.0
34,boras,SE,2020-01-09 01:29:45,57.72,12.94,42.01,86,40,11.41,scattered clouds,0.0,0.0
35,pombia,GR,2020-01-09 01:29:46,35.01,24.87,50.0,76,75,27.51,broken clouds,0.0,0.0
36,tasiilaq,GL,2020-01-09 01:29:46,65.61,-37.64,-5.22,40,7,15.77,clear sky,0.0,0.0
37,batagay,RU,2020-01-09 01:29:47,67.65,134.64,-13.77,97,100,2.71,light snow,0.0,0.13
38,nemuro,JP,2020-01-09 01:29:47,43.32,145.57,28.4,63,40,10.29,light shower snow,0.0,0.0
39,bethel,US,2020-01-09 01:29:47,60.79,-161.76,-7.6,75,1,13.87,clear sky,0.0,0.0
40,kirakira,SB,2020-01-09 01:29:47,-10.46,161.92,77.88,92,100,5.12,moderate rain,5.56,0.0
41,constitucion,MX,2020-01-09 01:29:47,23.99,-104.67,62.6,39,75,10.29,broken clouds,0.0,0.0
42,tommot,RU,2020-01-09 01:29:48,58.97,126.27,9.21,95,100,7.72,light snow,0.0,0.19
43,brigantine,US,2020-01-09 01:29:48,39.41,-74.36,36.0,50,1,16.11,clear sky,0.0,0.0
44,fonte boa,BR,2020-01-09 01:29:48,-2.51,-66.09,79.5,63,52,1.16,broken clouds,0.0,0.0
45,huizhou,CN,2020-01-09 01:29:48,23.11,114.41,64.17,66,67,6.06,broken clouds,0.0,0.0
46,narsaq,GL,2020-01-09 01:29:48,60.91,-46.05,-7.76,56,0,3.76,clear sky,0.0,0.0
47,nanortalik,GL,2020-01-09 01:29:49,60.14,-45.24,15.98,69,100,27.51,overcast clouds,0.0,0.0
48,ponta do sol,BR,2020-01-09 01:29:49,-20.63,-46.0,70.88,93,100,3.13,light rain,1.44,0.0
49,lavrentiya,RU,2020-01-09 01:29:49,65.58,-170.99,-7.62,88,2,4.88,clear sky,0.0,0.0
50,longyearbyen,NO,2020-01-09 01:29:49,78.22,15.63,26.6,73,75,35.57,light snow,0.0,0.0
51,nikolskoye,RU,2020-01-09 01:29:49,59.7,30.79,41.0,93,90,13.42,overcast clouds,0.0,0.0
52,punta arenas,CL,2020-01-09 01:29:50,-53.16,-70.91,48.2,61,85,21.92,light rain,0.56,0.0
53,ushuaia,AR,2020-01-09 01:29:50,-54.81,-68.31,44.6,81,90,26.4,light rain,0.0,0.0
54,cape town,ZA,2020-01-09 01:29:50,-33.93,18.42,64.99,82,75,13.87,broken clouds,0.0,0.0
55,laki,BG,2020-01-09 01:29:50,41.47,23.72,28.99,85,16,0.6,few clouds,0.0,0.0
56,baykit,RU,2020-01-09 01:29:50,61.68,96.39,-3.28,98,94,3.09,overcast clouds,0.0,0.0
57,tarabuco,BO,2020-01-09 01:29:51,-19.18,-64.92,62.6,63,20,9.17,few clouds,0.0,0.0
58,jutai,BR,2020-01-09 01:29:51,-1.7,-47.89,74.35,98,100,3.18,light rain,1.25,0.0
59,riyadh,SA,2020-01-09 01:29:51,24.63,46.72,57.2,58,35,4.7,scattered clouds,0.0,0.0
60,alekseyevsk,RU,2020-01-09 01:29:51,57.84,108.35,7.43,96,100,5.06,light snow,0.0,0.31
61,mount gambier,AU,2020-01-09 01:29:52,-37.83,140.78,87.8,20,0,9.17,clear sky,0.0,0.0
62,igrim,RU,2020-01-09 01:29:52,63.19,64.42,13.1,89,50,12.01,scattered clouds,0.0,0.0
63,hobart,AU,2020-01-09 01:25:10,-42.88,147.33,86.0,47,20,12.75,few clouds,0.0,0.0
64,katsuura,JP,2020-01-09 01:29:52,33.93,134.5,54.0,54,75,11.41,broken clouds,0.0,0.0
65,kapaa,US,2020-01-09 01:29:53,22.08,-159.32,84.2,65,75,20.8,broken clouds,0.0,0.0
66,hithadhoo,MV,2020-01-09 01:29:53,-0.6,73.08,82.22,78,52,13.67,light rain,0.88,0.0
67,havre-saint-pierre,CA,2020-01-09 01:29:53,50.23,-63.6,15.8,85,90,5.82,overcast clouds,0.0,0.0
68,albany,US,2020-01-09 01:26:07,42.65,-73.75,27.0,58,40,25.28,light snow,0.0,0.0
69,port lincoln,AU,2020-01-09 01:29:53,-34.72,135.86,88.07,28,34,11.92,scattered clouds,0.0,0.0
70,port elizabeth,US,2020-01-09 01:29:54,39.31,-74.98,37.0,47,1,12.75,clear sky,0.0,0.0
71,hamilton,CA,2020-01-09 01:27:09,43.26,-79.87,21.99,67,20,8.05,few clouds,0.0,0.0
72,atuona,PF,2020-01-09 01:29:54,-9.8,-139.03,82.42,71,18,21.45,few clouds,0.0,0.0
