City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,amapa,HN,71.6,scattered clouds,15.09,-87.97,Incubadora GAHSA
9,busselton,AU,71.01,few clouds,-33.64,115.35,Observatory Guest House
17,bambous virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
18,georgetown,GY,78.8,scattered clouds,6.8,-58.16,Kanhai's Center
22,tutoia,BR,75.65,clear sky,-2.76,-42.27,Pousada Guará's
31,bluff,AU,84.06,few clouds,-23.58,149.07,Bluff Hotel
44,fonte boa,BR,79.5,broken clouds,-2.51,-66.09,Hotel Dona Antonia
65,kapaa,US,84.2,broken clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
72,atuona,PF,82.42,few clouds,-9.8,-139.03,Villa Enata
74,port alfred,ZA,70.0,overcast clouds,-33.59,26.89,The Halyards Hotel
79,mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
80,puerto ayora,EC,75.2,light rain,-0.74,-90.35,Finch Bay Galapagos Hotel
81,el tigre,VE,79.23,broken clouds,8.89,-64.25,Hotel Santa Cruz
83,lisala,CD,77.04,overcast clouds,2.15,21.52,
86,dangriga,BZ,71.6,broken clouds,16.97,-88.23,Chaleanor Hotel
91,salalah,OM,75.2,broken clouds,17.01,54.1,HAMDAN PLAZA HOTEL
92,mumford,GH,75.78,broken clouds,5.26,-0.76,Spanish Villa
97,butaritari,KI,84.69,overcast clouds,3.07,172.79,Isles Sunset Lodge
105,avarua,CK,84.2,overcast clouds,-21.21,-159.78,Paradise Inn
109,caravelas,BR,70.5,overcast clouds,-17.73,-39.27,Pousada Dos Navegantes
115,xuddur,SO,71.11,scattered clouds,4.12,43.89,Banjanay Hotel
116,airai,TL,81.41,overcast clouds,-8.93,125.41,Juvinal Martin
119,linhares,BR,70.77,overcast clouds,-19.38,-40.06,Hotel Conceição
125,wattegama,LK,74.82,few clouds,7.35,80.68,HOTEL RED LETTER
127,santa maria,BR,75.2,broken clouds,-16.02,-48.01,HOTEL BRASILIA PARK / NOVO GAMA - GO
131,puerto narino,CO,77.0,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
135,victoria,BN,82.4,broken clouds,5.28,115.24,Tiara Labuan Hotel
141,maldonado,UY,77.0,clear sky,-34.91,-54.96,Joan Miro Hotel
142,obuasi,GH,72.19,broken clouds,6.21,-1.69,Mawuli Hotel
146,lagos,NG,81.41,scattered clouds,6.46,3.39,"Radisson Blu Anchorage Hotel, Lagos, V.I."
147,tondano,ID,80.6,scattered clouds,1.3,124.91,Villa Bella
150,burnie,AU,73.0,few clouds,-41.05,145.91,Beachfront Voyager Motor Inn
155,bitung,ID,80.6,scattered clouds,1.44,125.19,K2 Lembeh
158,ferkessedougou,CI,73.2,clear sky,9.6,-5.2,Hotel Chateau
159,cidreira,BR,74.88,clear sky,-30.17,-50.22,Pond Country Club
161,bonthe,SL,77.77,broken clouds,7.53,-12.5,Bonthe Holiday Village
163,hilo,US,82.4,broken clouds,19.71,-155.08,Hilo Seaside Hotel
173,padang,ID,81.99,broken clouds,-0.92,100.36,Mercure Padang
175,sao joao da barra,BR,77.0,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
179,makakilo city,US,80.6,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
180,manacapuru,BR,80.6,few clouds,-3.3,-60.62,Novo Hotel
190,cabo san lucas,MX,72.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
194,pisco,PE,71.6,overcast clouds,-13.71,-76.2,Hostal San Isidro Oficial
207,oistins,BB,78.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
208,vangaindrano,MG,72.72,scattered clouds,-23.35,47.6,
213,amahai,ID,82.76,overcast clouds,-3.31,129.0,Penginapan Madina
218,anloga,GH,78.85,broken clouds,5.79,0.9,BeatzWave Studios
223,arraial do cabo,BR,77.0,overcast clouds,-22.97,-42.02,Pousada Porto Praia
225,mogadishu,SO,79.14,overcast clouds,2.04,45.34,Olympic Hotel
226,axim,GH,75.36,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
243,gayeri,BF,71.78,clear sky,12.65,0.49,
247,touros,BR,80.6,shower rain,-5.2,-35.46,INN NEW HORIZON
248,vila velha,BR,82.4,broken clouds,-3.71,-38.6,Hotel Iparana Paradise
250,turangi,NZ,72.0,scattered clouds,-39.0,175.93,
252,pontes e lacerda,BR,72.91,overcast clouds,-15.23,-59.33,Hotel Periquito
259,mango,CF,73.17,broken clouds,4.65,22.36,
260,kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
272,san patricio,PY,79.57,overcast clouds,-26.98,-56.83,"Granja ""La Blanca"""
274,singkang,MY,82.4,few clouds,2.1,102.8,Kampung Seri Makmor Pagoh
278,lakes entrance,AU,82.0,broken clouds,-37.88,147.99,The Esplanade Resort & Spa
286,ciudad bolivar,VE,77.41,clear sky,8.12,-63.55,Hotel Edi
288,coahuayana,MX,71.67,clear sky,18.62,-100.35,
293,san fernando,TT,80.6,broken clouds,10.28,-61.46,The Royal Hotel
294,the valley,AI,80.01,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
301,kudahuvadhoo,MV,82.22,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
318,dedougou,BF,72.09,clear sky,12.47,-3.47,Hôtel Bon Séjour
319,barra patuca,HN,79.59,clear sky,15.8,-84.28,
327,iquitos,PE,78.8,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
328,bodden town,KY,79.0,scattered clouds,19.28,-81.25,Will T Place
334,masuguru,MZ,73.98,overcast clouds,-11.38,38.46,
340,biak,ID,83.55,overcast clouds,-0.91,122.88,Villa Mas Biak
342,cruz,BR,76.37,clear sky,-2.92,-40.18,Hotel Villaboibom
343,praia,BR,73.4,few clouds,-20.25,-43.81,Hotel Pousada de Minas
345,nyaunglebin,MM,78.49,clear sky,17.95,96.73,Royal Motel
349,marsabit,KE,72.72,clear sky,2.34,37.99,Chicho Hotel
362,conceicao do araguaia,BR,75.9,scattered clouds,-8.26,-49.26,Tarumã Tropical Hotel
366,honiara,SB,82.4,overcast clouds,-9.43,159.96,Heritage Park Hotel
371,san luis,AR,80.91,few clouds,-33.3,-66.34,Huarpes Hotel
382,cockburn town,TC,78.8,broken clouds,21.46,-71.14,Osprey Beach Hotel
385,atambua,ID,82.9,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
386,kloulklubed,PW,84.2,broken clouds,7.04,134.26,Storyboard Beach Resort
387,cayenne,GF,78.8,broken clouds,4.94,-52.33,Hôtel Le Dronmi
395,ugoofaaru,MV,82.0,broken clouds,5.67,73.0,Ungoofaaru Inn
399,toamasina,MG,77.0,shower rain,-18.17,49.38,Hotel H1
404,inirida,CO,75.96,few clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
414,buchanan,LR,77.0,mist,5.88,-10.05,Kamaneahn Hotel Inc
417,manicore,BR,71.35,overcast clouds,-5.81,-61.3,Pousada da wanda
419,muana,BR,76.01,overcast clouds,-1.53,-49.22,Pousada Bella do Marajó
426,puerto quijarro,BO,75.4,clear sky,-19.0,-57.72,Hotel Bibosi
428,gambela,ET,76.68,broken clouds,8.25,34.59,Solomon Debebe Hotel
439,tagusao,PH,83.05,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
441,nova prata,BR,73.99,clear sky,-28.78,-51.61,Pousada do Prata
446,maraba,BR,82.4,thunderstorm,-5.35,-49.1,Hotel Del Principe
450,cam ranh,VN,82.4,few clouds,11.92,109.15,OYO 598 Peony Hotel
457,calabozo,VE,83.66,clear sky,8.92,-67.43,Hotel Giardini
458,nelson bay,AU,75.99,overcast clouds,-32.72,152.14,Mantra Nelson Bay
460,waipawa,NZ,73.87,broken clouds,-39.94,176.59,T A Commercial Hotel
461,magpet,PH,80.6,broken clouds,7.1,125.12,Sitio Maupot Family Resort
464,richards bay,ZA,78.42,broken clouds,-28.77,32.06,BON Hotel Waterfront Richards Bay
481,villa carlos paz,AR,84.99,few clouds,-31.42,-64.5,Monte Carlo
489,port blair,IN,77.0,mist,11.67,92.75,Fortune Resort Bay Island
494,hambantota,LK,77.13,overcast clouds,6.12,81.12,Bungalow 63
495,itarema,BR,76.37,clear sky,-2.92,-39.92,Windvillage
508,ocos,GT,82.4,scattered clouds,14.51,-92.19,La Bajadita
509,waingapu,ID,83.1,overcast clouds,-9.65,120.26,Pondok Wisata Elim
512,santa isabel do rio negro,BR,78.85,broken clouds,-0.41,-65.02,Hotel GSA
513,cabedelo,BR,80.6,broken clouds,-6.97,-34.84,Lua Mansa Pousada
517,gorin,BF,71.78,clear sky,12.34,-0.67,
535,trinidad,BO,76.37,overcast clouds,-14.83,-64.9,Hotel Piesta
543,vista hermosa,MX,77.0,scattered clouds,14.92,-92.27,Hotel Casa Mexicana
