City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Malanje,-9.54,16.35,63.32,99,100,3.24,AO,2020-01-09 02:17:23
1,Cabo San Lucas,22.89,-109.91,69.01,56,40,4.7,MX,2020-01-09 02:17:23
2,Hilo,19.71,-155.08,82.4,54,40,8.05,US,2020-01-09 02:13:26
3,Bundaberg,-24.87,152.35,90.0,45,40,13.87,AU,2020-01-09 02:12:23
4,Yellowknife,62.45,-114.38,-34.01,73,20,5.82,CA,2020-01-09 02:13:43
5,Lakota,5.85,-5.68,69.71,81,4,1.97,CI,2020-01-09 02:17:24
6,Kodiak,39.95,-94.76,42.8,48,1,14.99,US,2020-01-09 02:17:24
7,Coquimbo,-29.95,-71.34,60.8,87,0,4.7,CL,2020-01-09 02:17:24
8,Punta Arenas,-53.16,-70.91,48.2,66,40,19.46,CL,2020-01-09 02:17:24
9,Hermanus,-34.42,19.24,64.0,88,0,17.87,ZA,2020-01-09 02:17:24
10,Ushuaia,-54.81,-68.31,44.6,81,90,27.51,AR,2020-01-09 02:17:25
11,Saskylakh,71.97,114.09,-3.77,96,98,7.47,RU,2020-01-09 02:17:25
12,Nishihara,35.74,139.53,62.01,28,20,17.22,JP,2020-01-09 02:17:26
13,Severo-Kurilsk,50.68,156.12,21.51,84,99,8.41,RU,2020-01-09 02:17:26
14,Bethel,60.79,-161.76,-11.2,69,1,14.99,US,2020-01-09 02:13:59
15,Kruisfontein,-34.0,24.73,64.36,89,51,17.63,ZA,2020-01-09 02:17:27
16,Rikitea,-23.12,-134.97,76.66,80,5,23.78,PF,2020-01-09 02:17:27
17,Albany,42.65,-73.75,26.01,49,40,17.22,US,2020-01-09 02:14:46
18,Vagay,57.94,69.02,5.29,97,96,4.61,RU,2020-01-09 02:17:28
19,Mataura,-46.19,168.86,57.0,61,99,15.99,NZ,2020-01-09 02:17:29
20,Jamestown,-33.21,138.6,97.99,14,46,12.66,AU,2020-01-09 02:17:29
21,Bluff,-23.58,149.07,92.53,31,0,14.5,AU,2020-01-09 02:17:29
22,Erdenet,49.03,104.04,-7.28,85,0,5.08,MN,2020-01-09 02:17:29
23,Barrow,-38.31,-60.23,59.32,87,76,3.76,AR,2020-01-09 02:17:30
24,Busselton,-33.64,115.35,78.01,24,6,10.98,AU,2020-01-09 02:17:30
25,Beloha,-25.17,45.06,73.76,78,98,9.55,MG,2020-01-09 02:17:30
26,Henties Bay,-22.12,14.28,63.0,89,0,3.29,NA,2020-01-09 02:17:30
27,Havre-Saint-Pierre,50.23,-63.6,15.8,85,90,5.82,CA,2020-01-09 02:17:30
28,Buin,-33.73,-70.74,62.6,59,25,8.05,CL,2020-01-09 02:17:30
29,Merauke,-8.49,140.4,88.25,61,100,5.93,ID,2020-01-09 02:17:31
30,Russell,38.9,-98.86,50.0,45,1,26.4,US,2020-01-09 02:17:31
31,San Patricio,-26.98,-56.83,79.57,57,87,5.59,PY,2020-01-09 02:17:31
32,Alofi,-19.06,-169.92,84.2,74,75,13.87,NU,2020-01-09 02:17:31
33,Slave Lake,55.28,-114.77,-0.4,84,90,14.99,CA,2020-01-09 02:17:32
34,Kapaa,22.08,-159.32,82.4,69,75,21.92,US,2020-01-09 02:14:17
35,Hobart,-42.88,147.33,88.0,31,0,1.99,AU,2020-01-09 02:14:43
36,Cherskiy,68.75,161.3,-24.56,77,50,2.57,RU,2020-01-09 02:17:33
37,Peleduy,59.63,112.75,10.35,95,100,4.94,RU,2020-01-09 02:17:33
